redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
1.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,3.599026012162812385e-03,9.210487086346832303e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,4.229913774453896921e-03,9.068268570486747240e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,4.017619597370927949e-03,9.390732183111615006e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,9.177917173429639419e-03,7.487904254722172262e-03
1.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,1.362513221903615540e-02,7.927318628107901666e-03
1.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,1.123216348981807833e-02,8.143667115590025665e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,4.668880836670965401e-03,8.383102430669118338e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,7.974093463971546752e-03,7.895231310757771029e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.800000000000000000e+01,1.790517663618703976e-03,8.191856065029732431e-03
1.000000000000000000e+00,2.000000000000000000e+00,8.200000000000000000e+01,4.901216568971382068e-03,7.260466650950124674e-03
1.000000000000000000e+00,2.000000000000000000e+00,8.600000000000000000e+01,1.753067143759110165e-03,7.497740585925465398e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+01,1.458153473723087894e-03,7.298326647294807977e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.400000000000000000e+01,1.743582709119703093e-03,7.122486445036936911e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.800000000000000000e+01,1.023809162370463086e-04,6.737084490285008727e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,-5.457968867925728357e-04,6.821571412665820150e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.060000000000000000e+02,1.342301425281279765e-03,6.780902496698646732e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+02,3.234374258344465541e-03,6.369008802329753638e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.140000000000000000e+02,-6.343421536816919171e-03,6.089329608038648173e-03
