quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,4.793333333333333890e-01,9.066872942045147710e+00,1.012419683354659838e+01,1.222741199746941199e+01,1.317114168153967668e+01,1.489864127884200506e+01
0.000000000000000000e+00,4.840000000000000413e-01,9.207310660683539538e+00,1.026135148954309173e+01,1.231781025672085406e+01,1.324923816272724864e+01,1.494328147689211583e+01
0.000000000000000000e+00,4.886666666666666936e-01,9.332510325789248995e+00,1.040810075303260618e+01,1.240859245564274005e+01,1.332978026642536129e+01,1.498766442440372870e+01
0.000000000000000000e+00,4.933333333333333459e-01,9.466999686485793930e+00,1.055385512154174066e+01,1.249951997631537992e+01,1.340204534112203660e+01,1.503181389337034979e+01
0.000000000000000000e+00,4.979999999999999982e-01,9.603162711392073447e+00,1.068376912243062016e+01,1.258461735566557849e+01,1.347423967044738013e+01,1.507575322580735389e+01
0.000000000000000000e+00,5.026666666666667060e-01,9.750873473029647798e+00,1.082664151943799880e+01,1.267071338438710981e+01,1.355296596926444685e+01,1.511733970497899904e+01
0.000000000000000000e+00,5.073333333333334139e-01,9.899159432390051805e+00,1.096750531918717542e+01,1.275846491502511526e+01,1.362316287807158410e+01,1.513556082596366714e+01
0.000000000000000000e+00,5.120000000000000107e-01,1.004022654436309914e+01,1.111061950444116242e+01,1.284978314757519513e+01,1.370770382916803776e+01,1.517870319559366443e+01
0.000000000000000000e+00,5.166666666666667185e-01,1.017950862752184449e+01,1.123357404731035736e+01,1.293667760199946315e+01,1.379061812444629886e+01,1.521438408080814852e+01
0.000000000000000000e+00,5.213333333333334263e-01,1.030516026546016661e+01,1.136537268053403515e+01,1.303236945986884443e+01,1.387064732150304280e+01,1.524608435782417892e+01
0.000000000000000000e+00,5.260000000000000231e-01,1.042907183592169318e+01,1.149654961404133680e+01,1.311905370915234847e+01,1.394495867599054328e+01,1.527201303544876509e+01
0.000000000000000000e+00,5.306666666666667309e-01,1.056174032882776181e+01,1.163006050397609137e+01,1.320508119449538142e+01,1.402059116942712258e+01,1.530202401855056316e+01
0.000000000000000000e+00,5.353333333333333277e-01,1.070884735293478407e+01,1.178042972928932208e+01,1.329383986873282630e+01,1.408415744299792216e+01,1.534239445426410953e+01
0.000000000000000000e+00,5.400000000000000355e-01,1.083633078538699479e+01,1.193069253688658193e+01,1.338148692824523422e+01,1.415062275589884599e+01,1.536131316241359102e+01
0.000000000000000000e+00,5.446666666666666323e-01,1.096695548701765333e+01,1.208081158892941076e+01,1.346966126500339200e+01,1.423256194763654570e+01,1.537795475431755676e+01
0.000000000000000000e+00,5.493333333333333401e-01,1.111221342534055445e+01,1.223074937502757464e+01,1.356137787605039335e+01,1.430757085852191679e+01,1.540443189973734306e+01
0.000000000000000000e+00,5.540000000000000480e-01,1.125768991400997443e+01,1.238046817266519817e+01,1.364731781700169577e+01,1.438382719463425552e+01,1.543153002233228044e+01
0.000000000000000000e+00,5.586666666666666448e-01,1.139987221022768971e+01,1.252993008118184548e+01,1.373008035024632179e+01,1.445232405522496499e+01,1.545927120798920029e+01
0.000000000000000000e+00,5.633333333333333526e-01,1.152355970307565336e+01,1.267756516948898771e+01,1.381437105893811434e+01,1.452648189822141944e+01,1.549846160266205253e+01
0.000000000000000000e+00,5.680000000000000604e-01,1.164761623002574531e+01,1.278307648013421272e+01,1.389989988952582678e+01,1.461037003763621200e+01,1.556309191861105745e+01
0.000000000000000000e+00,5.726666666666666572e-01,1.177556547214679306e+01,1.290448688001691835e+01,1.399224478735460409e+01,1.468640237339771204e+01,1.558088776968193301e+01
0.000000000000000000e+00,5.773333333333333650e-01,1.193718982192346800e+01,1.301901070913401348e+01,1.407852948653508918e+01,1.475915783360236233e+01,1.559666756008508415e+01
0.000000000000000000e+00,5.820000000000000728e-01,1.209987705492377508e+01,1.316162566111274579e+01,1.416661136171570234e+01,1.484203801863774785e+01,1.565484306122119129e+01
