quantity_index,z,p2p5,p16,median,p84,p97p5
4.000000000000000000e+00,6.240000000000001101e-01,-2.224016763908630878e+01,-8.416106469583885641e+00,3.499801825963869906e+00,1.514093955376652190e+01,2.809687096766675651e+01
4.000000000000000000e+00,6.286666666666667069e-01,-2.249839207504848204e+01,-8.303351175843177501e+00,3.915552026320390677e+00,1.579993212649121759e+01,2.892343940513287492e+01
4.000000000000000000e+00,6.333333333333334147e-01,-2.271167089938593620e+01,-8.189835314272587041e+00,4.353915365728874498e+00,1.639951597501655201e+01,2.975201926765339522e+01
4.000000000000000000e+00,6.380000000000000115e-01,-2.281345962564957119e+01,-8.070781846070875787e+00,4.744584261868760144e+00,1.700910790834562647e+01,3.058292050510842586e+01
4.000000000000000000e+00,6.426666666666667194e-01,-2.281336095225812954e+01,-7.968031801779037693e+00,5.153467917281613353e+00,1.766749571405890862e+01,3.141645256947265707e+01
4.000000000000000000e+00,6.473333333333333162e-01,-2.306639203380465375e+01,-7.956907241422327637e+00,5.547753429697403149e+00,1.832744347399439278e+01,3.225292457288966119e+01
4.000000000000000000e+00,6.520000000000000240e-01,-2.315742882099598887e+01,-7.854411123795255634e+00,5.823279056491260874e+00,1.895142082979553777e+01,3.309264544502216410e+01
4.000000000000000000e+00,6.566666666666667318e-01,-2.338834240223800620e+01,-7.687014114633134554e+00,6.206433945473765590e+00,1.958877396236578150e+01,3.393592408977826125e+01
4.000000000000000000e+00,6.613333333333333286e-01,-2.365949889263327321e+01,-7.464420382410080990e+00,6.537315267054425227e+00,2.022026277202476052e+01,3.478306954151551622e+01
4.000000000000000000e+00,6.660000000000000364e-01,-2.389305010748498859e+01,-7.361300230974005210e+00,6.975881358415079170e+00,2.082114357679920502e+01,3.563608069052397553e+01
4.000000000000000000e+00,6.706666666666667442e-01,-2.419459656095821742e+01,-7.301197273548083899e+00,7.413814742055863327e+00,2.142686412853079858e+01,3.649676499970922805e+01
4.000000000000000000e+00,6.753333333333333410e-01,-2.452992899752464240e+01,-7.279146458093151750e+00,7.809767829252345805e+00,2.207718010231534578e+01,3.736189475947992378e+01
4.000000000000000000e+00,6.800000000000000488e-01,-2.487320648624297448e+01,-7.149451582624536172e+00,8.270817325666790509e+00,2.272739564077760832e+01,3.823179965970611249e+01
4.000000000000000000e+00,6.846666666666667567e-01,-2.521408614160979056e+01,-7.020147891014605790e+00,8.669504260961103270e+00,2.338337367878475348e+01,3.910680996551306521e+01
4.000000000000000000e+00,6.893333333333333535e-01,-2.555253145858998920e+01,-6.909832942433120628e+00,9.049115144606870942e+00,2.402523442800409725e+01,3.998725669006498151e+01
4.000000000000000000e+00,6.940000000000000613e-01,-2.588850627394061021e+01,-6.749722794567049711e+00,9.431552329515822564e+00,2.466369089035195827e+01,4.087347176722568065e+01
4.000000000000000000e+00,6.986666666666667691e-01,-2.614736351324384600e+01,-6.628460078571053238e+00,9.804042437802678478e+00,2.530383613489376060e+01,4.176578822421012660e+01
4.000000000000000000e+00,7.033333333333333659e-01,-2.628165699143836065e+01,-6.513427584321789254e+00,1.015129547302387003e+01,2.594584306456738787e+01,4.266454035434154690e+01
4.000000000000000000e+00,7.080000000000000737e-01,-2.641859925077604387e+01,-6.379407901017040139e+00,1.048743781773812955e+01,2.657670410170467434e+01,4.357006389002677338e+01
4.000000000000000000e+00,7.126666666666667815e-01,-2.668104791546878118e+01,-6.262880272405054072e+00,1.087403453221422822e+01,2.721435600383656350e+01,4.448269610875587432e+01
4.000000000000000000e+00,7.173333333333333783e-01,-2.694110400896138202e+01,-6.180495212984739695e+00,1.128080745327829604e+01,2.784300741560060288e+01,4.540277620984836204e+01
4.000000000000000000e+00,7.219999999999999751e-01,-2.722628587595268357e+01,-6.131711531056627251e+00,1.166437862288325888e+01,2.848818825880287164e+01,4.633064528467510002e+01
4.000000000000000000e+00,7.266666666666667940e-01,-2.755828820994425854e+01,-6.061694988205768020e+00,1.205220845437834676e+01,2.913704058576885814e+01,4.726664656005677045e+01
4.000000000000000000e+00,7.313333333333333908e-01,-2.776914201939853299e+01,-6.003054171613363188e+00,1.247790139283313060e+01,2.977450541426331299e+01,4.821112557404070031e+01
4.000000000000000000e+00,7.359999999999999876e-01,-2.805087037728335275e+01,-5.926489428280754979e+00,1.285436038459981489e+01,3.041658103133243429e+01,4.916443035258052419e+01
4.000000000000000000e+00,7.406666666666666954e-01,-2.840212945657211918e+01,-5.729059094040336753e+00,1.324124302560205635e+01,3.106835496518269935e+01,5.012691158723366414e+01
4.000000000000000000e+00,7.453333333333334032e-01,-2.868583940675740962e+01,-5.541099309687245622e+00,1.365531154892114074e+01,3.172366251843380525e+01,5.109892281399226022e+01
4.000000000000000000e+00,7.500000000000000000e-01,-2.890674449989679928e+01,-5.399659682680090889e+00,1.403264236727479108e+01,3.238266821165717602e+01,5.208082059336376801e+01
4.000000000000000000e+00,7.546666666666667078e-01,-2.912516575042605993e+01,-5.309120250404301800e+00,1.444169155605318444e+01,3.304553723979920932e+01,5.307296462888272970e+01
