quantity_index,z,p2p5,p16,median,p84,p97p5
0.000000000000000000e+00,6.193333333333334023e-01,1.274913453062818824e+01,1.376262172171530906e+01,1.493300752350490512e+01,1.605159904022508499e+01,1.745854792932604482e+01
0.000000000000000000e+00,6.240000000000001101e-01,1.287061477570902568e+01,1.387891651557205286e+01,1.504753853510415418e+01,1.613727810940637397e+01,1.753361875333305875e+01
0.000000000000000000e+00,6.286666666666667069e-01,1.300028811406086682e+01,1.400886035488183801e+01,1.515252086142986343e+01,1.621932290183193004e+01,1.759355610747876852e+01
0.000000000000000000e+00,6.333333333333334147e-01,1.313060211546914680e+01,1.413243605793286406e+01,1.526255327536622630e+01,1.631244718111923930e+01,1.765243211938698309e+01
0.000000000000000000e+00,6.380000000000000115e-01,1.326150282119136925e+01,1.425985797417803802e+01,1.537058224113190619e+01,1.639869887702629470e+01,1.771099075824234959e+01
0.000000000000000000e+00,6.426666666666667194e-01,1.339299259599056136e+01,1.438479168371753403e+01,1.547624087289716499e+01,1.648011357669005861e+01,1.776880927472191729e+01
0.000000000000000000e+00,6.473333333333333162e-01,1.352473578167709789e+01,1.451554898734804233e+01,1.558854425565683854e+01,1.657212329711145671e+01,1.782571530844727192e+01
0.000000000000000000e+00,6.520000000000000240e-01,1.364084235244092724e+01,1.464673470871515093e+01,1.569285132516556658e+01,1.665726062873323343e+01,1.789895633609640413e+01
0.000000000000000000e+00,6.566666666666667318e-01,1.375724218013981393e+01,1.477897263721914456e+01,1.580397969764354826e+01,1.674392950202743080e+01,1.795596478955887676e+01
0.000000000000000000e+00,6.613333333333333286e-01,1.387404422815395932e+01,1.490523230960813272e+01,1.591653990648052464e+01,1.682632190558942042e+01,1.800212773595992388e+01
0.000000000000000000e+00,6.660000000000000364e-01,1.399118047309343105e+01,1.503840059720397804e+01,1.601932422571531234e+01,1.692033052867389387e+01,1.804864991778403649e+01
0.000000000000000000e+00,6.706666666666667442e-01,1.411888513343168228e+01,1.516301705621040874e+01,1.612886891097079456e+01,1.700448652414289796e+01,1.811504588476039501e+01
0.000000000000000000e+00,6.753333333333333410e-01,1.425020335580782493e+01,1.528480517518577564e+01,1.623340377859094730e+01,1.709334834374346812e+01,1.816756452785363152e+01
0.000000000000000000e+00,6.800000000000000488e-01,1.438212337265543184e+01,1.541172418714661596e+01,1.633935755438820081e+01,1.718786721062565803e+01,1.825130467662326339e+01
0.000000000000000000e+00,6.846666666666667567e-01,1.451470162158780752e+01,1.554182087969041426e+01,1.644961490579310848e+01,1.726791096618899601e+01,1.831703893994914978e+01
0.000000000000000000e+00,6.893333333333333535e-01,1.464612350664321738e+01,1.566866472370674046e+01,1.655516925292573660e+01,1.735732985234857040e+01,1.837551557941699443e+01
0.000000000000000000e+00,6.940000000000000613e-01,1.476879734838826863e+01,1.578983202461204272e+01,1.666923661579304650e+01,1.743659937231798551e+01,1.843011211693710294e+01
0.000000000000000000e+00,6.986666666666667691e-01,1.489185823210583948e+01,1.592606085435102337e+01,1.677732850197907055e+01,1.750700302225233074e+01,1.848794886629699974e+01
0.000000000000000000e+00,7.033333333333333659e-01,1.502220187694688391e+01,1.604661412593238623e+01,1.689024500577129828e+01,1.759683086509994610e+01,1.853697281355560023e+01
0.000000000000000000e+00,7.080000000000000737e-01,1.515901872182690724e+01,1.617898061929802367e+01,1.699691476809135438e+01,1.767617279522059093e+01,1.858433369384341560e+01
0.000000000000000000e+00,7.126666666666667815e-01,1.529642072748571024e+01,1.631035162167277264e+01,1.710065012616371050e+01,1.777010162159887230e+01,1.864026332392400320e+01
0.000000000000000000e+00,7.173333333333333783e-01,1.543441022847219202e+01,1.643685024947899009e+01,1.721156709177035538e+01,1.786409519115217037e+01,1.869355106400556465e+01
0.000000000000000000e+00,7.219999999999999751e-01,1.557298955447407884e+01,1.656433898584204201e+01,1.731706738025224723e+01,1.795900709392091343e+01,1.874363849271566806e+01
0.000000000000000000e+00,7.266666666666667940e-01,1.571216104717034234e+01,1.668917706901156706e+01,1.742146078607478543e+01,1.804514160808800938e+01,1.880238736355149243e+01
0.000000000000000000e+00,7.313333333333333908e-01,1.585192706024939824e+01,1.681212144951600251e+01,1.753372938603786935e+01,1.813343793788279257e+01,1.885051832178833209e+01
