quantity_index,z,p2p5,p16,median,p84,p97p5
1.000000000000000000e+00,8.573333333333333917e-01,1.785004819391393838e+01,1.846759133315433488e+01,1.907503688973368838e+01,1.974221093570950458e+01,2.061711385195377133e+01
1.000000000000000000e+00,8.620000000000000995e-01,1.779916170439470946e+01,1.842482572820678755e+01,1.904128472123619886e+01,1.971917595540266177e+01,2.058744526103938810e+01
1.000000000000000000e+00,8.666666666666666963e-01,1.774429183889839834e+01,1.837343447439469202e+01,1.900225553466778905e+01,1.969867410775916738e+01,2.057364906768578550e+01
1.000000000000000000e+00,8.713333333333334041e-01,1.769490961047524280e+01,1.833035785917891758e+01,1.895679664370853246e+01,1.966852012643944292e+01,2.054870013644417170e+01
1.000000000000000000e+00,8.760000000000001119e-01,1.763941553656031402e+01,1.827604527440077220e+01,1.891781308694017483e+01,1.965013186670062240e+01,2.055674315591655699e+01
1.000000000000000000e+00,8.806666666666667087e-01,1.758661224490656849e+01,1.822679620979186410e+01,1.888003673819878969e+01,1.962707460877495791e+01,2.055149037525202971e+01
1.000000000000000000e+00,8.853333333333334165e-01,1.751794152777627289e+01,1.817751069939823694e+01,1.883949119955271101e+01,1.958733804440011994e+01,2.054648110653313609e+01
1.000000000000000000e+00,8.900000000000001243e-01,1.745640734945730088e+01,1.812547102881594441e+01,1.880496883606343062e+01,1.955802654418708286e+01,2.056846583175752130e+01
1.000000000000000000e+00,8.946666666666667211e-01,1.740013308187419483e+01,1.807622170870164169e+01,1.876511044264746175e+01,1.953440835115513252e+01,2.058151669194950273e+01
1.000000000000000000e+00,8.993333333333333179e-01,1.734436499751756600e+01,1.802438331749043599e+01,1.872798667183374377e+01,1.949638100368700577e+01,2.057160648116630952e+01
1.000000000000000000e+00,9.040000000000000258e-01,1.728416810505832046e+01,1.797390015647718542e+01,1.868716829970764337e+01,1.948411162665346197e+01,2.056808322920543119e+01
1.000000000000000000e+00,9.086666666666667336e-01,1.722645226421590792e+01,1.792620166244778090e+01,1.864497329429237027e+01,1.945234462568495815e+01,2.054752742555248446e+01
1.000000000000000000e+00,9.133333333333334414e-01,1.716486394703981588e+01,1.788109728191741610e+01,1.860831945949500010e+01,1.941490023164917034e+01,2.052703230990747585e+01
1.000000000000000000e+00,9.180000000000000382e-01,1.710086924041118550e+01,1.784157981956130001e+01,1.857154550966197704e+01,1.938815119038732604e+01,2.050659817139591112e+01
1.000000000000000000e+00,9.226666666666667460e-01,1.703961866753842358e+01,1.779322843234305651e+01,1.853178308539295926e+01,1.935545683859947985e+01,2.048622530602641234e+01
1.000000000000000000e+00,9.273333333333334538e-01,1.698000791451357827e+01,1.774069647324562027e+01,1.849062717521408317e+01,1.932951792166810279e+01,2.046723632501274182e+01
1.000000000000000000e+00,9.320000000000000506e-01,1.691598958791349361e+01,1.769299462435703418e+01,1.845542658648971468e+01,1.930684597866418173e+01,2.047390577560944891e+01
1.000000000000000000e+00,9.366666666666667584e-01,1.684744713082373835e+01,1.764276042367844610e+01,1.841828412089666500e+01,1.929804566482847150e+01,2.049072693407839552e+01
1.000000000000000000e+00,9.413333333333333552e-01,1.678508557362507858e+01,1.759678384327530409e+01,1.838235937430889777e+01,1.927540314450120817e+01,2.048693872385167580e+01
1.000000000000000000e+00,9.460000000000000631e-01,1.670765085542366180e+01,1.754764586892624223e+01,1.834258798279146774e+01,1.925276988732120387e+01,2.046644887527488521e+01
1.000000000000000000e+00,9.506666666666667709e-01,1.666514469551160005e+01,1.749242676281998854e+01,1.830897025495630004e+01,1.923572464934527559e+01,2.045205267673870964e+01
1.000000000000000000e+00,9.553333333333333677e-01,1.662933917897294478e+01,1.744059735733713268e+01,1.826924238884062390e+01,1.921014960203448396e+01,2.047038947849506485e+01
1.000000000000000000e+00,9.600000000000000755e-01,1.658741588652907950e+01,1.738474146899812567e+01,1.823238998095325769e+01,1.919528250475179831e+01,2.047264890679590366e+01
1.000000000000000000e+00,9.646666666666667833e-01,1.653962283263298971e+01,1.733004166777670108e+01,1.819756200291542569e+01,1.917555320008978725e+01,2.047286172368922053e+01
1.000000000000000000e+00,9.693333333333333801e-01,1.648890700312097835e+01,1.728216152827780050e+01,1.815893917545965408e+01,1.915054904731847785e+01,2.048369675685150426e+01
