order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
0.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,-6.170801745612782696e+01,9.223904574071122298e+00,-6.391304121463129917e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,-7.164108059057387834e+01,1.018271523570744996e+01,-6.894593919055222386e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,-7.190964163180619551e+01,1.188121268793934782e+01,-7.503389708249915202e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,-7.360095179934417331e+01,1.300648422856345299e+01,-7.360423472354105456e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,-7.785990968685729285e+01,1.414426476627219564e+01,-6.870844810163751504e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,-7.322518726858807270e+01,1.433718847932635043e+01,-6.412722566050391038e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,-5.376500086485395968e+01,1.648458599392694879e+01,-6.039854925549080633e+01
0.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,-6.458583003123209210e+01,1.656020802945563020e+01,-5.728097626166564282e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,-1.662904387767729020e+01,1.207036564683923352e+01,-2.363878889890384372e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,-1.657376353198158725e+01,1.415532977332459375e+01,-1.115903421089026537e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,1.493128872130783158e+01,1.640808771797506438e+01,1.045386602010154320e-01
1.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000000e+01,2.212858216930289146e+01,1.771050754875417610e+01,1.094687944521630740e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.400000000000000000e+01,2.579607312328528934e+01,2.096825591922766918e+01,2.454617019066232686e+01
1.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000000e+01,4.965695532915638921e+01,2.424669651947271376e+01,4.014870496727189675e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,6.398893814123266566e+01,2.742841612693371189e+01,4.327471810147439868e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000000e+02,3.468756897110561965e+01,3.143511904595190387e+01,3.314837996220257565e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000000e+02,3.916220546937816493e+01,3.419944200167993387e+01,2.892300484386442960e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.240000000000000000e+02,6.227399325337866287e+01,3.420505409886926174e+01,3.325580771779500822e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+02,6.476805201939542656e+01,3.649237019033934359e+01,3.825203507694024552e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+02,7.086691171838461401e+01,4.129902484802136087e+01,4.029141206185084911e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+02,1.673889258898349652e+01,4.027097962647743401e+01,3.926689260168627982e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.200000000000000000e+01,1.115456286786682583e+01,2.281610446152009786e+01,2.107504411131711208e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+01,4.154463543156609262e+01,2.431754336797531124e+01,3.688106610442180511e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.800000000000000000e+01,3.593143452631657908e+01,3.518390069476166815e+01,4.877558544044632072e+01
1.000000000000000000e+00,2.000000000000000000e+00,7.600000000000000000e+01,2.731049775828775950e+01,4.311690934375586437e+01,5.832245590560108894e+01
