z,W_first,W_second
4.680000000000000271e-01,5.817257761979475195e-01,2.287161740439961621e-01
4.685000000000000275e-01,5.817257761979475195e-01,2.325531132765635833e-01
4.690000000000000280e-01,5.817257761979475195e-01,2.363900525091310323e-01
4.695000000000000284e-01,5.817257761979475195e-01,2.402269917416984535e-01
4.700000000000000289e-01,5.817257761979475195e-01,2.440639309742659024e-01
4.705000000000000293e-01,5.817257761979475195e-01,2.479008702068332959e-01
4.710000000000000298e-01,5.817257761979475195e-01,2.517378094394007726e-01
4.715000000000000302e-01,5.817257761979475195e-01,2.555747486719681660e-01
4.720000000000000306e-01,5.817257761979475195e-01,2.594116879045356150e-01
4.725000000000000311e-01,5.817257761979475195e-01,2.632486271371030639e-01
4.730000000000000315e-01,5.817257761979475195e-01,2.670855663696704574e-01
4.735000000000000320e-01,5.817257761979475195e-01,2.709225056022379063e-01
4.740000000000000324e-01,5.817257761979475195e-01,2.747594448348052998e-01
4.745000000000000329e-01,5.817257761979475195e-01,2.785963840673727487e-01
4.750000000000000333e-01,6.797539891468580286e-01,2.824333232999401977e-01
4.755000000000000338e-01,6.797539891468580286e-01,2.867719031962264742e-01
4.760000000000000342e-01,6.797539891468580286e-01,2.911104830925127507e-01
4.765000000000000346e-01,6.797539891468580286e-01,2.954490629887990272e-01
4.770000000000000351e-01,6.797539891468580286e-01,2.997876428850853037e-01
4.775000000000000355e-01,6.797539891468580286e-01,3.041262227813716912e-01
4.780000000000000360e-01,6.797539891468580286e-01,3.084648026776579122e-01
4.785000000000000364e-01,6.797539891468580286e-01,3.128033825739442442e-01
4.790000000000000369e-01,6.797539891468580286e-01,3.171419624702305207e-01
4.795000000000000373e-01,6.797539891468580286e-01,3.214805423665167972e-01
4.800000000000000377e-01,6.797539891468580286e-01,3.258191222628030737e-01
4.805000000000000382e-01,6.797539891468580286e-01,3.301577021590893501e-01
4.810000000000000386e-01,6.797539891468580286e-01,3.344962820553756822e-01
4.815000000000000391e-01,6.797539891468580286e-01,3.388348619516619586e-01
4.820000000000000395e-01,6.797539891468580286e-01,3.431734418479482351e-01
4.825000000000000400e-01,6.797539891468580286e-01,3.475120217442345116e-01
4.830000000000000404e-01,6.797539891468580286e-01,3.518506016405208436e-01
4.835000000000000409e-01,6.797539891468580286e-01,3.561891815368071201e-01
4.840000000000000413e-01,6.797539891468580286e-01,3.605277614330933966e-01
4.845000000000000417e-01,6.797539891468580286e-01,3.648663413293796731e-01
4.850000000000000422e-01,7.773000039136859218e-01,3.692049212256660606e-01
4.855000000000000426e-01,7.773000039136859218e-01,3.739984043966236293e-01
4.860000000000000431e-01,7.773000039136859218e-01,3.787918875675811425e-01
4.865000000000000435e-01,7.773000039136859218e-01,3.835853707385387668e-01
4.870000000000000440e-01,7.773000039136859218e-01,3.883788539094963355e-01
4.875000000000000444e-01,7.773000039136859218e-01,3.931723370804538487e-01
4.879999999999999893e-01,7.773000039136859218e-01,3.979658202514109178e-01
4.885000000000000453e-01,7.773000039136859218e-01,4.027593034223689861e-01
4.889999999999999902e-01,7.773000039136859218e-01,4.075527865933260552e-01
4.895000000000000462e-01,7.773000039136859218e-01,4.123462697642842345e-01
4.899999999999999911e-01,7.773000039136859218e-01,4.171397529352411926e-01
4.905000000000000471e-01,7.773000039136859218e-01,4.219332361061993164e-01
4.909999999999999920e-01,7.773000039136859218e-01,4.267267192771563300e-01
4.915000000000000480e-01,7.773000039136859218e-01,4.315202024481143983e-01
4.919999999999999929e-01,7.773000039136859218e-01,4.363136856190715229e-01
4.925000000000000488e-01,7.773000039136859218e-01,4.411071687900295912e-01
4.929999999999999938e-01,7.773000039136859218e-01,4.459006519609866048e-01
4.935000000000000497e-01,7.773000039136859218e-01,4.506941351319447842e-01
4.939999999999999947e-01,7.773000039136859218e-01,4.554876183029017978e-01
4.945000000000000506e-01,7.773000039136859218e-01,4.602811014738598661e-01
4.949999999999999956e-01,8.739002295450437607e-01,4.650745846448168797e-01
4.955000000000000515e-01,8.739002295450437607e-01,4.702739217165608498e-01
4.959999999999999964e-01,8.739002295450437607e-01,4.754732587883037098e-01
4.965000000000000524e-01,8.739002295450437607e-01,4.806725958600476245e-01
4.969999999999999973e-01,8.739002295450437607e-01,4.858719329317904845e-01
4.975000000000000533e-01,8.739002295450437607e-01,4.910712700035344547e-01
4.979999999999999982e-01,8.739002295450437607e-01,4.962706070752772591e-01
4.985000000000000542e-01,8.739002295450437607e-01,5.014699441470211738e-01
4.989999999999999991e-01,8.739002295450437607e-01,5.066692812187640893e-01
4.995000000000000551e-01,8.739002295450437607e-01,5.118686182905080040e-01
5.000000000000000000e-01,8.739002295450437607e-01,5.170679553622508084e-01
5.005000000000000560e-01,8.739002295450437607e-01,5.222672924339948342e-01
