s_Mpc_h,xi_ell0,xi_ell0_jk_sigma,xi_ell2,xi_ell2_jk_sigma,xi_ell4,xi_ell4_jk_sigma,dxi_dz_ell0,dxi_dz_ell0_jk_sigma,dxi_dz_ell2,dxi_dz_ell2_jk_sigma,dxi_dz_ell4,dxi_dz_ell4_jk_sigma,d2xi_dz2_ell0,d2xi_dz2_ell0_jk_sigma,d2xi_dz2_ell2,d2xi_dz2_ell2_jk_sigma,d2xi_dz2_ell4,d2xi_dz2_ell4_jk_sigma
1.030000000000000000e+02,3.374774592735990154e-03,4.592143276528323813e-04,-6.610187577730412128e-03,1.059190851327227465e-03,2.224913902776403459e-04,1.091867342928794140e-03,4.859186532410750617e-03,2.893341370809966295e-03,1.483059530885910866e-03,6.600495671503272752e-03,-8.335643040914768320e-03,7.561484164971351077e-03,4.082117687883581036e-02,3.254905968462711713e-02,1.014708006211760688e-01,7.197326656971296532e-02,4.667631467539394563e-02,7.895080497774170647e-02
1.090000000000000000e+02,2.339786612395893493e-03,4.233480470875007140e-04,-6.165680290335149791e-03,1.026249859169013406e-03,4.440352708540788165e-04,1.155442174961806559e-03,2.854665803621171498e-03,2.697563640682934267e-03,1.380412811519774689e-03,6.338097917330569146e-03,-1.428892491988365595e-03,6.990779808621961841e-03,3.807735088041336313e-02,3.012516897149650208e-02,1.797432293023510652e-01,7.170625371316241559e-02,1.727065734124845486e-02,7.714073723283994266e-02
1.150000000000000000e+02,1.219178365153775938e-03,3.956859893934751380e-04,-5.617371926678814756e-03,1.019192156774373793e-03,3.700592347179234307e-04,1.076424369098259205e-03,3.478302138014497790e-03,2.674327000757593421e-03,-3.205629601951091173e-03,5.665682167367921615e-03,2.962673362262805126e-03,6.718515021270007014e-03,1.795741715827584364e-02,3.167745744552630249e-02,1.102609416343852955e-01,6.757310494694791780e-02,8.759767232973270090e-02,7.549415709596965507e-02
1.210000000000000000e+02,6.835499963810093673e-05,3.386785930057676719e-04,-5.175937118762118441e-03,9.629013338489234974e-04,-5.453784829736616152e-04,1.056759636639037275e-03,2.954555018845559863e-03,2.378419456915599646e-03,-3.433661040058528721e-04,5.254584784772929444e-03,2.669204690015419042e-03,6.825694215112652723e-03,5.290766639792995191e-03,2.682382730064683529e-02,1.420026797284257569e-01,6.454566798795635663e-02,2.989141869414250335e-02,8.232537339387968611e-02
1.270000000000000000e+02,-6.751276895929662555e-04,3.528154031767655489e-04,-4.608130523845505380e-03,9.105872542703590282e-04,3.285343403697252524e-04,1.027541010888225739e-03,3.438251754832134972e-03,2.228635744396185829e-03,1.115122041471833204e-03,5.354992241725648437e-03,2.682719967886629427e-03,6.431717853583868508e-03,1.759627595875143738e-02,2.597225828140868262e-02,8.526418084902870342e-02,6.166321928434512906e-02,1.023781704014133445e-02,7.637495095828658598e-02
1.330000000000000000e+02,-1.154737561404603008e-03,3.567759103426359482e-04,-4.253168466850856463e-03,8.286090521110629770e-04,1.057884832740776330e-03,1.038301986966537731e-03,4.350249175110756233e-03,2.204829468500796915e-03,4.873624032252285706e-04,5.227872909412879798e-03,-2.477367995126519232e-03,6.056746227065574681e-03,2.064730006169528814e-02,2.582231401446898403e-02,6.285023485894365713e-02,6.047381429677532033e-02,-1.486609512123712902e-02,7.643516282446681520e-02
1.390000000000000000e+02,-1.113949063757513954e-03,3.598277291239073100e-04,-2.787897278565895295e-03,8.945169691934132814e-04,1.833340552304389432e-03,9.946786463461405967e-04,4.509544829714454139e-03,2.162920411176306578e-03,1.478917360681795794e-03,5.353207845458708702e-03,-2.876373480592651390e-03,5.513670425090952051e-03,3.577668395252686651e-02,2.490823843531961637e-02,7.028953049595343394e-02,5.970115529728432791e-02,-8.793428579122010424e-02,7.498316504631903634e-02
1.450000000000000000e+02,-1.079118113422954843e-03,3.471951809481851588e-04,-2.899215406147835541e-03,7.876562226070692478e-04,2.164354453285523977e-03,8.414227211582194941e-04,9.726314764648350941e-04,2.047793295115216562e-03,-8.775419027653597742e-04,4.937318909002559424e-03,5.159889537677261190e-03,5.139637148923280677e-03,1.023446920514090724e-02,2.235463512928146865e-02,3.556020263734116504e-02,6.251309949369641961e-02,-2.514081128847470148e-02,7.211595121379713036e-02
1.510000000000000000e+02,-8.584744308771738051e-04,3.263160724730481766e-04,-2.836851937062921658e-03,7.829686625463930629e-04,1.794837561898821390e-03,8.834800590565276444e-04,1.065525646750363009e-03,1.880779874381743617e-03,-4.771733221426805935e-04,4.814011981469554051e-03,2.629624860589844723e-03,5.028406470955428323e-03,1.259433208716098651e-02,2.227305601740590252e-02,4.914208491930861789e-02,6.004604839690706741e-02,-9.437490671866577419e-02,6.892126160351140507e-02
1.570000000000000000e+02,-1.073453297912038609e-03,3.068057419873160448e-04,-2.791386688020993777e-03,7.343777865146654954e-04,1.629628963345691565e-03,8.665112555778477698e-04,3.141770234706900834e-04,1.954885932547307994e-03,1.363845540319904952e-03,4.409961906897058755e-03,3.006092732025479435e-03,5.746674908202447501e-03,-2.232426688729106934e-02,2.010198530415410398e-02,4.104187015055010650e-03,5.822381710116971559e-02,-6.594022969880600216e-02,6.273880970152351244e-02
