z,DM_over_rd,DM_over_rd_jk_sigma,DH_over_rd,DH_over_rd_jk_sigma,dDM_over_rd_dz,dDM_over_rd_dz_jk_sigma,dDH_over_rd_dz,dDH_over_rd_dz_jk_sigma,d2DM_over_rd_dz2,d2DM_over_rd_dz2_jk_sigma,d2DH_over_rd_dz2,d2DH_over_rd_dz2_jk_sigma,S2,S2_formal_sigma,S1_pivot,S1_pivot_formal_sigma,S0_pivot,S0_pivot_formal_sigma
4.700000000000000289e-01,1.258401405398715411e+01,3.692541989596986318e-01,2.219196993079104629e+01,1.085880694963464732e+00,1.652362654963212663e+01,2.326773281337276345e+00,4.730829680663880765e+00,9.095775793255555186e+00,-9.110261611993738740e+00,3.213688851612757524e+00,-6.154991075905660836e+01,2.581161997891779336e+01,-2.271048827366005440e+00,4.957383694735232882e-01,3.109626816597516719e+00,1.388349343206033648e+00,1.828766344910015551e-01,5.107866601102869497e-01
4.738888888888889150e-01,1.264820519784312403e+01,3.638290766175781843e-01,2.220990193556830405e+01,1.059886611126844569e+00,1.648934404640808182e+01,2.320001377170381129e+00,4.491283065875289360e+00,9.000696239761339257e+00,-8.521538345424675143e+00,3.314113557242018171e+00,-6.164423924438241187e+01,2.615622889102223425e+01,-2.277683930217263342e+00,4.948094409969955310e-01,3.078376273898625559e+00,1.363334708095998549e+00,2.107684267833802583e-01,4.925080025517863946e-01
4.777777777777778012e-01,1.271226746084767711e+01,3.585399045704799614e-01,2.222690167582736009e+01,1.034626775016346256e+00,1.645734179089890148e+01,2.312646037497593898e+00,4.251384227472834176e+00,8.904352462713466920e+00,-7.937542892233381941e+00,3.418399897791642772e+00,-6.173105334269778410e+01,2.649431863573400747e+01,-2.284631025761567180e+00,4.939747148759192630e-01,3.047357319906965678e+00,1.338688086555075207e+00,2.379570436733151606e-01,4.747464698600533106e-01
4.816666666666666874e-01,1.277620967517737327e+01,3.533921091160275862e-01,2.224296783864556559e+01,1.010121490512408515e+00,1.642760162761669207e+01,2.304718174526351859e+00,4.011162398715380384e+00,8.806775618617894708e+00,-7.358156963781912197e+00,3.525915709896474404e+00,-6.181034781148134982e+01,2.682579325650397450e+01,-2.291901638899186633e+00,4.932403406063168294e-01,3.016562164090717424e+00,1.314399147996845096e+00,2.644578812071112228e-01,4.574880585859599225e-01
4.855555555555555736e-01,1.284004060329512953e+01,3.483910162033736491e-01,2.225809922482131853e+01,9.863910581538388733e-01,1.640010585844876800e+01,2.296228511242439208e+00,3.770646830556730666e+00,8.707997367285138068e+00,-6.783263622076725063e+00,3.636112611489152879e+00,-6.188211879275757354e+01,2.715056059348351170e+01,-2.299507789495233379e+00,4.926128464928922202e-01,2.985983071961433755e+00,1.290457713894333169e+00,2.902859138849667175e-01,4.407192171338176756e-01
4.894444444444444597e-01,1.290376893971880712e+01,3.435418294735150813e-01,2.227229474893238859e+01,9.634556522416543034e-01,1.637483723746403541e+01,2.287187590920037206e+00,3.529866786264259648e+00,8.608049877737727229e+00,-6.212747249517200032e+00,3.748517600136498817e+00,-6.194636381153694060e+01,2.746853217084215970e+01,-2.307462019383752949e+00,4.920991662455176385e-01,2.955612361822598011e+00,1.266853751916425797e+00,3.154557065534169258e-01,4.244268306316147377e-01
4.933333333333333459e-01,1.296740331276975589e+01,3.388496062305310641e-01,2.228555343937339472e+01,9.413351761283837993e-01,1.635177896583635615e+01,2.277605787088694544e+00,3.288851536044076429e+00,8.506965835241711460e+00,-5.646493519066912548e+00,3.862724628792823189e+00,-6.200308177396951237e+01,2.777962309593298684e+01,-2.315777421155276627e+00,4.917066665405863124e-01,2.925442401541636261e+00,1.243577370830189821e+00,3.399814259198374877e-01,4.085982078228843073e-01
4.972222222222222321e-01,1.303095228630186853e+01,3.343192314239591956e-01,2.229787443837232885e+01,9.200490944664078130e-01,1.633091468688298065e+01,2.267493313984223491e+00,3.047630351674044391e+00,8.404778449574649812e+00,-5.084389364837259784e+00,3.978386570926929711e+00,-6.205227296521159275e+01,2.808375196889161529e+01,-2.324467668866777803e+00,4.914431769028159702e-01,2.895465605343561677e+00,1.220618814770550342e+00,3.638768517017156867e-01,3.932210660874793096e-01
5.011111111111111738e-01,1.309442436141160293e+01,3.299553897773734867e-01,2.230925700198623574e+01,8.996162416965424180e-01,1.631222848121660007e+01,2.256860237515268874e+00,2.806232501145521141e+00,8.301521464654262772e+00,-4.526322953074559230e+00,4.095207803891196541e+00,-6.209393904700588251e+01,2.838084080143081422e+01,-2.333547050825546254e+00,4.913170216724652706e-01,2.865674430624352453e+00,1.197968458280379789e+00,3.871553874228392811e-01,3.782835185285640112e-01
5.050000000000000044e-01,1.315782797812929239e+01,3.257625362593084550e-01,2.231970050007610240e+01,8.800546067433900888e-01,1.629570486200952928e+01,2.245716486781887511e+00,2.564687243315229459e+00,8.197229169664401738e+00,-3.972183653541022430e+00,4.212937514829945940e+00,-6.212808305497524231e+01,2.867081494374466288e+01,-2.343030504612271692e+00,4.913370540499690797e-01,2.836061374782174571e+00,1.175616800905238568e+00,4.098300708682227622e-01,3.637740614037520137e-01
