redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
1.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,2.888789771100334089e-04,2.594658358377293240e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,-2.935060839715605179e-04,2.733174337664654591e-03
1.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,4.700875641727190676e-04,2.688905534375798934e-03
1.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,2.188921528364982765e-03,2.151499253661926826e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,8.207198588686967847e-04,2.203554117981406258e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,1.725113589026761735e-03,1.980052385940411080e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,2.411304672419148538e-03,2.101799744880896229e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,2.536869602883654214e-03,2.132559496667520930e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,-1.321883627766242677e-03,1.914760026098524977e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,7.662651230632127469e-04,1.918867626344068940e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,1.947323407451606895e-03,1.765829262493872568e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,-5.913972154668919578e-05,1.691287147247226216e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,-2.191152365590932124e-03,1.655293048270902205e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,1.333525566097109845e-03,1.711961315582524431e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,-1.583863909498413455e-03,1.865116842795308798e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,2.847281810702456998e-04,1.561950462853485674e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,5.838090980540783324e-04,1.568048495885325478e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,1.589564760097356491e-03,1.435172134309350934e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,1.432628588765309536e-03,1.470519837152843784e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,1.769627574085814439e-03,1.511450922524116679e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,-1.327217971373706841e-03,1.332891113428866887e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,-1.010910061071254671e-03,1.611169479213064165e-03
1.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,-1.091494767037781352e-02,9.035957360672860345e-03
1.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,1.126837893746495019e-02,9.034414325053540668e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,1.756144343301957672e-03,7.364465729188263317e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,1.258366590295882312e-02,7.127527413860339917e-03
1.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,1.887123577309164635e-02,7.040030957204790329e-03
1.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,1.420235647452282269e-03,6.462136320007859890e-03
1.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,4.081919229338279095e-03,6.279178861009902975e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,-2.275668750871789880e-03,6.323580877454330201e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,2.794632243942478216e-03,5.971250325614493697e-03
1.000000000000000000e+00,2.000000000000000000e+00,7.800000000000000000e+01,-2.104150618615332948e-03,4.975390358018970914e-03
1.000000000000000000e+00,2.000000000000000000e+00,8.200000000000000000e+01,-1.131354416847200851e-03,4.875126964793130395e-03
1.000000000000000000e+00,2.000000000000000000e+00,8.600000000000000000e+01,1.570516626131417213e-03,5.304082616349544213e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+01,-4.704547969306995675e-03,4.960343424180743352e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.400000000000000000e+01,4.842512422094066502e-03,4.343653739135863896e-03
1.000000000000000000e+00,2.000000000000000000e+00,9.800000000000000000e+01,-4.560490002029236531e-03,4.902271010568884889e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,8.975886982383099975e-04,4.862747047476726273e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.060000000000000000e+02,-1.825027804147590429e-04,4.079938463647095510e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+02,-2.214912882549505135e-03,3.658720494308562252e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.140000000000000000e+02,1.270354591346816928e-02,4.035586794457387758e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.180000000000000000e+02,2.176004688138609075e-03,4.108890930372457485e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.220000000000000000e+02,-9.865261838226345708e-04,3.924839968476650717e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.260000000000000000e+02,5.095994978497188181e-04,3.373503614583699389e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+02,4.443113257676259507e-04,3.467504919726768428e-03
1.000000000000000000e+00,2.000000000000000000e+00,1.340000000000000000e+02,2.456682768967701543e-03,3.178893550712245681e-03
